atemp,casual,count,datetime,holiday,humidity,registered,season,temp,weather,windspeed,workingday
14.395,3.0,16.0,2011-01-01 00:00:00,0,81,13.0,1,9.84,1,0.0,0
13.635,8.0,40.0,2011-01-01 01:00:00,0,80,32.0,1,9.02,1,0.0,0
13.635,5.0,32.0,2011-01-01 02:00:00,0,80,27.0,1,9.02,1,0.0,0
14.395,3.0,13.0,2011-01-01 03:00:00,0,75,10.0,1,9.84,1,0.0,0
14.395,0.0,1.0,2011-01-01 04:00:00,0,75,1.0,1,9.84,1,0.0,0
12.88,0.0,1.0,2011-01-01 05:00:00,0,75,1.0,1,9.84,2,6.0032,0
13.635,2.0,2.0,2011-01-01 06:00:00,0,80,0.0,1,9.02,1,0.0,0
12.88,1.0,3.0,2011-01-01 07:00:00,0,86,2.0,1,8.2,1,0.0,0
14.395,1.0,8.0,2011-01-01 08:00:00,0,75,7.0,1,9.84,1,0.0,0
17.425,8.0,14.0,2011-01-01 09:00:00,0,76,6.0,1,13.12,1,0.0,0
19.695,12.0,36.0,2011-01-01 10:00:00,0,76,24.0,1,15.58,1,16.9979,0
16.665,26.0,56.0,2011-01-01 11:00:00,0,81,30.0,1,14.76,1,19.0012,0
21.21,29.0,84.0,2011-01-01 12:00:00,0,77,55.0,1,17.22,1,19.0012,0
22.725,47.0,94.0,2011-01-01 13:00:00,0,72,47.0,1,18.86,2,19.9995,0
22.725,35.0,106.0,2011-01-01 14:00:00,0,72,71.0,1,18.86,2,19.0012,0
21.97,40.0,110.0,2011-01-01 15:00:00,0,77,70.0,1,18.04,2,19.9995,0
21.21,41.0,93.0,2011-01-01 16:00:00,0,82,52.0,1,17.22,2,19.9995,0
21.97,15.0,67.0,2011-01-01 17:00:00,0,82,52.0,1,18.04,2,19.0012,0
21.21,9.0,35.0,2011-01-01 18:00:00,0,88,26.0,1,17.22,3,16.9979,0
21.21,6.0,37.0,2011-01-01 19:00:00,0,88,31.0,1,17.22,3,16.9979,0
20.455,11.0,36.0,2011-01-01 20:00:00,0,87,25.0,1,16.4,2,16.9979,0
20.455,3.0,34.0,2011-01-01 21:00:00,0,87,31.0,1,16.4,2,12.998,0
20.455,11.0,28.0,2011-01-01 22:00:00,0,94,17.0,1,16.4,2,15.0013,0
22.725,15.0,39.0,2011-01-01 23:00:00,0,88,24.0,1,18.86,2,19.9995,0
22.725,4.0,17.0,2011-01-02 00:00:00,0,88,13.0,1,18.86,2,19.9995,0
21.97,1.0,17.0,2011-01-02 01:00:00,0,94,16.0,1,18.04,2,16.9979,0
21.21,1.0,9.0,2011-01-02 02:00:00,0,100,8.0,1,17.22,2,19.0012,0
22.725,2.0,6.0,2011-01-02 03:00:00,0,94,4.0,1,18.86,2,12.998,0
22.725,2.0,3.0,2011-01-02 04:00:00,0,94,1.0,1,18.86,2,12.998,0
21.21,0.0,2.0,2011-01-02 06:00:00,0,77,2.0,1,17.22,3,19.9995,0
20.455,0.0,1.0,2011-01-02 07:00:00,0,76,1.0,1,16.4,2,12.998,0
20.455,0.0,8.0,2011-01-02 08:00:00,0,71,8.0,1,16.4,3,15.0013,0
19.695,1.0,20.0,2011-01-02 09:00:00,0,76,19.0,1,15.58,2,15.0013,0
17.425,7.0,53.0,2011-01-02 10:00:00,0,81,46.0,1,14.76,2,15.0013,0
16.665,16.0,70.0,2011-01-02 11:00:00,0,71,54.0,1,14.76,2,16.9979,0
16.665,20.0,93.0,2011-01-02 12:00:00,0,66,73.0,1,14.76,2,19.9995,0
17.425,11.0,75.0,2011-01-02 13:00:00,0,66,64.0,1,14.76,2,8.9981,0
17.425,4.0,59.0,2011-01-02 14:00:00,0,76,55.0,1,14.76,3,12.998,0
16.665,19.0,74.0,2011-01-02 15:00:00,0,81,55.0,1,13.94,3,11.0014,0
16.665,9.0,76.0,2011-01-02 16:00:00,0,71,67.0,1,13.94,3,11.0014,0
16.665,7.0,65.0,2011-01-02 17:00:00,0,57,58.0,1,13.94,1,12.998,0
16.665,10.0,53.0,2011-01-02 18:00:00,0,46,43.0,1,14.76,2,22.0028,0
14.395,1.0,30.0,2011-01-02 19:00:00,0,42,29.0,1,13.12,1,30.0026,0
13.635,5.0,22.0,2011-01-02 20:00:00,0,39,17.0,1,12.3,1,23.9994,0
11.365,11.0,31.0,2011-01-02 21:00:00,0,44,20.0,1,10.66,1,22.0028,0
10.605,0.0,9.0,2011-01-02 22:00:00,0,44,9.0,1,9.84,1,19.9995,0
11.365,0.0,8.0,2011-01-02 23:00:00,0,47,8.0,1,9.02,1,11.0014,0
9.85,0.0,5.0,2011-01-03 00:00:00,0,44,5.0,1,9.02,1,23.9994,1
8.335,0.0,2.0,2011-01-03 01:00:00,0,44,2.0,1,8.2,1,27.9993,1
6.82,0.0,1.0,2011-01-03 04:00:00,0,47,1.0,1,6.56,1,26.0027,1
6.82,0.0,3.0,2011-01-03 05:00:00,0,47,3.0,1,6.56,1,19.0012,1
5.305,0.0,30.0,2011-01-03 06:00:00,0,50,30.0,1,5.74,1,26.0027,1
6.82,1.0,64.0,2011-01-03 07:00:00,0,50,63.0,1,5.74,1,12.998,1
6.06,1.0,154.0,2011-01-03 08:00:00,0,50,153.0,1,5.74,1,19.0012,1
6.82,7.0,88.0,2011-01-03 09:00:00,0,43,81.0,1,6.56,1,26.0027,1
8.335,11.0,44.0,2011-01-03 10:00:00,0,43,33.0,1,7.38,1,16.9979,1
9.09,10.0,51.0,2011-01-03 11:00:00,0,40,41.0,1,8.2,1,22.0028,1
10.605,13.0,61.0,2011-01-03 12:00:00,0,35,48.0,1,9.02,1,19.9995,1
10.605,8.0,61.0,2011-01-03 13:00:00,0,35,53.0,1,9.84,1,19.0012,1
12.12,11.0,77.0,2011-01-03 14:00:00,0,30,66.0,1,10.66,1,19.0012,1
12.12,14.0,72.0,2011-01-03 15:00:00,0,30,58.0,1,10.66,1,16.9979,1
12.12,9.0,76.0,2011-01-03 16:00:00,0,30,67.0,1,10.66,1,16.9979,1
11.365,11.0,157.0,2011-01-03 17:00:00,0,30,146.0,1,9.84,1,15.0013,1
12.88,9.0,157.0,2011-01-03 18:00:00,0,32,148.0,1,9.84,1,7.0015,1
12.88,8.0,110.0,2011-01-03 19:00:00,0,47,102.0,1,8.2,1,0.0,1
11.365,3.0,52.0,2011-01-03 20:00:00,0,47,49.0,1,8.2,1,7.0015,1
9.85,3.0,52.0,2011-01-03 21:00:00,0,64,49.0,1,7.38,1,8.9981,1
7.575,0.0,20.0,2011-01-03 22:00:00,0,69,20.0,1,5.74,1,8.9981,1
10.605,1.0,12.0,2011-01-03 23:00:00,0,55,11.0,1,7.38,1,7.0015,1
